City/town,Municipality,County,City/town status,Population
Arendal,Arendal,Agder,1723,"39,826"
Bergen,Bergen,Vestland,1070,"278,121"
Bodø,Bodø,Nordland,1816,"46,049"
Drammen,Drammen,Viken,1811,"64,597"
Egersund,Eigersund,Rogaland,1798,"13,418"
Farsund,Farsund,Agder,1795,"9,392"
Flekkefjord,Flekkefjord,Agder,1842,"8,918"
Florø,Flora,Vestland,1860,"8,296"
Fredrikstad,Fredrikstad,Viken,1567,"80,977"
Gjøvik,Gjøvik,Innlandet,1861,"27,500"
Grimstad,Grimstad,Agder,1816,"19,809"
Halden,Halden,Viken,1665,31 037
Hamar,Hamar,Innlandet,1248,"31,593"
Hammerfest,Hammerfest,Troms og Finnmark,1789,"9,261"
Harstad,Harstad,Troms og Finnmark,1904,"23,242"
Haugesund,Haugesund,Rogaland,1854,"31,738"
Holmestrand,Holmestrand,Vestfold og Telemark,1752,"9,515"
Horten,Horten,Vestfold og Telemark,1858,"24,671"
Hønefoss,Ringerike,Viken,1852,"13,930"
Kongsberg,Kongsberg,Viken,1624,"23,997"
Kongsvinger,Kongsvinger,Innlandet,1854,"17,380"
Kristiansand,Kristiansand,Agder,1641,"90,562"
Kristiansund (town),Kristiansund,Møre og Romsdal,1742,"22,661"
Larvik,Larvik,Vestfold og Telemark,1671,"41,221"
Lillehammer,Lillehammer,Innlandet,1842,"25,070"
Mandal,Mandal,Agder,1921,"13,840"
Molde,Molde,Møre og Romsdal,1742,"24,421"
Moss,Moss,Viken,1720,"28,800"
Namsos,Namsos,Trøndelag,1845,"12,426"
Narvik,Narvik,Nordland,1902,"18,512"
Notodden,Notodden,Vestfold og Telemark,1913,"12,359"
Oslo,Oslo,Oslo,1000,"634,463"
Porsgrunn,Porsgrunn,Vestfold og Telemark,1842,"33,550"
Risør,Risør,Agder,1630,"6,938"
Sandefjord,Sandefjord,Vestfold og Telemark,1845,"42,333"
Sandnes,Sandnes,Rogaland,1860,"78,624"
Sarpsborg,Sarpsborg,Viken,1016,"50,115"
Skien,Skien,Vestfold og Telemark,1000,"72,537"
Stavanger,Stavanger,Rogaland,1125,"130,754"
Steinkjer,Steinkjer,Trøndelag,1857,"20,672"
Svolvær,Vågan,Nordland,1918,"4,720"
Tromsø,Tromsø,Troms og Finnmark,1794,"72,681"
Trondheim,Trondheim,Trøndelag,997,"190,464"
Tønsberg,Tønsberg,Vestfold og Telemark,900,"38,914"
Vadsø,Vadsø,Troms og Finnmark,1833,"6,187"
Vardø,Vardø,Troms og Finnmark,1789,"2,396"
Ålesund,Ålesund,Møre og Romsdal,1848,"41,385"
